name,booth_number,address,website,linkedin,description,product_categories,link,summary
FLOWSTOP INDUSTRIE,"Venetian Expo, Hall G - 60415","263 Taurus ave Oakland, CA 94611, United States",https://www.flowstopfloodbarrier.com/,https://www.linkedin.com/company/flowstop/posts/?feedView=all,"FlowStop is a Flood barrier. An inflatable device that prevents water from passing through your doors. Our flood barriers are custom-made to fit any door, garage door, or window. They are recognized for their lightweight, effortless set-up and storage capacity.","Construction Tech, Lifestyle, Smart Home and Appliances, Startups, Sustainability",/8_0/exhibitor/exhibitor-details.cfm?exhid=001Pp00000mu2qoIAA,
Formovie (Chongqing) Innovative Technology Co Ltd.,"LVCC, Central Hall - 21414","13-2F #22 Jinyu Avenue Yubei District Chongqing, 401122, China",https://www.formovie.com/,https://www.linkedin.com/company/formovie,"Formovie is the pioneer in laser display technology applications for modern home entertainment. Our products range from high-end UST laser projectors to portable projectors with laser light sources. Rewarded by world-renowned awards, Formovie is the ultimate choice for big-screen entertainment in your sweet home.","Gaming and Esports, Home Entertainment and Office Hardware, Lifestyle, Smart Home and Appliances, Video",/8_0/exhibitor/exhibitor-details.cfm?exhid=0013A00001a0tXGQAY,
"Foshan City Xin yuan electronic co.,ltd","LVCC, South Hall 2 - 36720","Fuda Road,Xiqiao Technology Industrial Park, Foshan, 528211, China",http://www.nh-xinyuan.com.cn/,Not Available,"Foshan City Xin Yuan Electronices Co.,Ltd is a professional manufacturer of film capacitors. We are major in capacitor research and development,production, sell and services. Our company was established in 1986,taking an area of 50 000 squaremeter, about 400 employees.","Energy/Power, Smart Home and Appliances, Sourcing and Manufacturing",/8_0/exhibitor/exhibitor-details.cfm?exhid=001Pp00000knDjCIAU,
"Foshan Leilong Electric appliance co., ltd","LVCC, South Hall 3 - 41062","3rd Floor, Building C, No.8 Zhiye Road, Beijiao Town, Shunde District Foshan Guangdong, Guan 528300, China",http://www.rylon.cn/,Not Available,"At LeloPets, we are not just a company—we are innovators dedicated to enhancing the lives of pets and their owners. We break away from tradition by focusing on disruptive innovation. Our foundation is built on independent intellectual property, which empowers us to push boundaries and create groundbreaking products that redefine pet care.","Fashion Tech, Lifestyle, Smart Home and Appliances",/8_0/exhibitor/exhibitor-details.cfm?exhid=001Pp00000mCsjJIAS,
Foshan Shunde Advante Electron Ltd.,"Venetian Expo, Halls A-D - 51268","North Second XinXi Road, LunJiao Industrial Avenue LunJiao, Shunde Foshan, 528308, China",https://www.china-advante.com/,Not Available,"We Advante Electron Ltd. was found in 1996, which is a professional manufacturer of Wireless/ Wired Doorbell, PIR motion sensor, Wireless Controller and LED nightlight. We have built up cooperation with many top-grade global customers in this field. Our innovative R&D team, consist of 10+ engineers with decade of experience.",Smart Home and Appliances,/8_0/exhibitor/exhibitor-details.cfm?exhid=0013A00001ZWJhGQAX,
"Foshan Viomi Electrical Technology Co., Ltd.","Venetian Expo, Halls A-D - 52052","13th Floor, No. 7, Industrial Road , Licun Village Lunjiao Town, Shunde District Foshan, GD 528308, China",https://www.viomi.com/,Not Available,AI for Better Water – Using AI technology to provide better drinking water solutions for home,"Fashion Tech, IoT/Sensors, Lifestyle, Smart Home and Appliances, Sustainability",/8_0/exhibitor/exhibitor-details.cfm?exhid=001Pp00000ApUG4IAN,
FOXX Development Inc.,"LVCC, South Hall 3 - 40708","15375 Barranca Parkway STE.C-104 Irvine, CA 92618, United States",https://www.foxxusa.com/,Not Available,"FOXXD is a worldwide brand, founded in US and expanding to Europe and Asia Pacific. The 40 members of the Foxx Elite Team are from Top 5 global communication enterprises and Fortune 500 companies. Foxx is dedicated to providing end to end solution of telecommunications electronic device, smart home equipment and IOT products.","IoT/Sensors, Marketing and Advertising, Retail/E-Commerce, Smart Home and Appliances",/8_0/exhibitor/exhibitor-details.cfm?exhid=0013A00001W4W9EQAV,
Frameo A/S,"LVCC, Central Hall - 18443","Daugbjergvej 26B, 1. 1, Aarhus C, 8000, Denmark",https://partner.frameo.com/,https://www.linkedin.com/company/frameo-photoframe/,"Frameo has grown to be the biggest software provider for WiFi photo frames in the world. This means that we have millions of users spread out across every country of the globe with thousands of people joining every day. Our focus is to allow people to stay connected and share photos and videos with loved ones, no matter where they are.","Content and EntertaInment, Home Entertainment and Office Hardware, Imaging, Lifestyle, Smart Home and Appliances",/8_0/exhibitor/exhibitor-details.cfm?exhid=0013A00001efo0JQAQ,
"Fujian Yesoul Health Technology Co., Ltd.","Venetian Expo, Halls A-D - 56032","SHENGHUI INTERNATIONAL BUILDING, No.169 QIANHENG ROAD, JIN'AN DISTRICT Fuzhou,Fujian, 350011, China",https://yesoulfitness.com/,Not Available,YESOUL is an indoor fitness brand integrating R&D and production.Our products have been sold to many countries all over the world and received positive feedback.Our brand adheresto encourage more people to maintain an optimistic lifestyle through various sports. YESOUL is committed to helping our users to build a healthy lifestyle scienti,"Fitness, Home Entertainment and Office Hardware, Lifestyle, Smart Home and Appliances, Sports",/8_0/exhibitor/exhibitor-details.cfm?exhid=001Pp000003415VIAQ,
Full Nature Farms (Hong Kong) Limited,"Venetian Expo, Halls A-D - 50832","Unit 617, 6F, Building 19W Pak Shek Kok, AL 0000, Hong Kong SAR",https://www.fullnature.com/,https://www.linkedin.com/company/fullnature/,Not Available,"AgTech, IoT/Sensors, Smart Cities, Smart Home and Appliances, Sustainability",/8_0/exhibitor/exhibitor-details.cfm?exhid=001Pp00000i0Z4VIAU,
Full Strike Ltd.,"Venetian Expo, Halls A-D - 52769","Investment Center, Yinzhou Dist. Nigbo City, 315000, China",Not Available,Not Available,"Founded 2001,Full Strike Limited(FSL www.fullstrikegroup.com) is a professional OEM/ODM manufacturer of electronic components & accessories from Taiwan. In China, we have our own facilities located in Shenzhen (International Purchasing Office), and factory in Hangzhou , and Ningbo. We also prouded to have a","IoT/Sensors, Lifestyle, Smart Cities, Smart Home and Appliances, Sourcing and Manufacturing",/8_0/exhibitor/exhibitor-details.cfm?exhid=0014V00001zm9JvQAI,
Future B2B LLC,"LVCC, North Hall Lobby - NL-1","130 West 42nd Street 7th Floor New York, NY 10036, United States",https://www.futureplc.com/,https://www.linkedin.com/company/future-publishing,"Future is the global leader in specialist media. With 200+ owned and operated brands, we excel in creating specialist content that connects with audiences and fuels their passions. Reaching 1 in 3 U.S. adults online each month, our flagship brands include Marie Claire, Who What Wear, Tom's Guide, TechRadar, PCGamer, Livingetc and more.","Artificial Intelligence, Content and EntertaInment, Gaming and Esports, Marketing and Advertising, Smart Home and Appliances",/8_0/exhibitor/exhibitor-details.cfm?exhid=0013000001KaMgdAAF,
"Fuzhi Technology (Shenzhen) Co., Ltd.","Venetian Expo, Halls A-D - 51235","Room 302, Building 10, Qianhai E Hub, Guangdong Shenzhen, 518000, China",https://www.enabot.com/,https://www.linkedin.com/company/enabot/,"Founded in Shenzhen, Enabot is a technology company focusing on the research and development of home robots. With the brand concept of ""Always Together"", we are committed to solving the companionship needs of modern families through advanced intelligent technology, empowering life with technology, so as to improve family happiness.","Home Entertainment and Office Hardware, Lifestyle, Robotics, Smart Home and Appliances",/8_0/exhibitor/exhibitor-details.cfm?exhid=0014V00002mBgMYQA0,
"Fuzhou Action Electronic co.,ltd.","LVCC, South Hall 2 - 36123","F16,E Building,Tsinghua Ziguang Sic-tech Park Minhou Town,Fuzhou,Fujian Fuzhou, FUJI 350100, China",http://www.actionele.com/,Not Available,"Our company is Fuzhou Action Electronic Company . We are a professional clock supplier and have 20-years experience. Our main product is digital clock,timer,thermometer and speaker.","Smart Home and Appliances, Sourcing and Manufacturing",/8_0/exhibitor/exhibitor-details.cfm?exhid=001Pp00000kmkAzIAI,
ganiga innovation srl,"Venetian Expo, Hall G - 62801","Via valdinievole nord 66 bientina, Pisa 56031, Italy",https://ganiga.it/en/,https://www.linkedin.com/company/ganigainnovation/,"Ganiga develops innovative waste management solutions, leveraging robotics and GenAI to automatically sort materials and analyze data in real time. We reduce CO2 emissions by 30% and operational costs by 25%, collaborating with clients like Google, Autogrill, and Michelin.","Artificial Intelligence, Robotics, Smart Home and Appliances, Startups, Sustainability",/8_0/exhibitor/exhibitor-details.cfm?exhid=001Pp000003GElFIAW,
Gauzy Ltd.,"LVCC, West Hall - 6516","14 Hathiya Street Tel Aviv, 6816914, Israel",https://www.gauzy.com/,https://www.linkedin.com/company/2860964/admin/,"Gauzy Ltd. is a fully-integrated light and vision control company, focused on the research, development, manufacturing, and marketing of vision and light control technologies that are developed to support safe, sustainable, comfortable, and agile user experiences across various industries. Headquartered in Tel Aviv, Israel, the company ha","Construction Tech, Retail/E-Commerce, Smart Home and Appliances, Sustainability, Vehicle Tech and Advanced Mobility",/8_0/exhibitor/exhibitor-details.cfm?exhid=0013A00001XqIEgQAN,
"GE Lighting, A Savant Company","Venetian, Lvl 3 - Murano 3202","1975 Noble Road Building 308, Office 205 Cleveland, OH 44112, United States",https://www.gelighting.com/smart-home,Not Available,Not Available,"Audio, Energy/Power, Home Entertainment and Office Hardware, Retail/E-Commerce, Smart Home and Appliances",/8_0/exhibitor/exhibitor-details.cfm?exhid=0013A00001W4FqUQAV,
"Genhigh Tech Co., Ltd.","Venetian Expo, Halls A-D - 52362","20TH FLOOR WANG CHEONG BUILDING NO.251 RECLAMATION STREET Kowloon, 999077, Hong Kong SAR",https://www.neakasa.com/,https://www.linkedin.com/company/genhigh/,Neakasa was established in 2017 as a leading innovator of smart cleaning technology. Our mission is to simplify and elevate people's lives by providing top-of-the-line smart cleaning solutions. Our current product lines include Pet Cleaning and Home Cleaning. Current key sellers are M1 open-top cat litter box and pet grooming systems.,"Accessories, Lifestyle, Robotics, Smart Home and Appliances, Startups",/8_0/exhibitor/exhibitor-details.cfm?exhid=0014V00003ThVXoQAN,
Gentex Corporation,"LVCC, West Hall - 6340","600 N. Centennial Street Zeeland, MI 49464, United States",https://www.gentex.com/,https://www.linkedin.com/company/gentex-corporation,"Gentex is a technology company and long-time supplier of electro-optical products for the global automotive, aerospace, and fire protection industries. We supply nearly every major automaker with connected-car technologies and advanced electronic features that optimize driver vision and enhance driving safety.","Digital Health, Energy/Power, IoT/Sensors, Smart Home and Appliances, Vehicle Tech and Advanced Mobility",/8_0/exhibitor/exhibitor-details.cfm?exhid=0013000001KYV9pAAH,
GermPass,"Venetian Expo, Halls A-D - 54132","50 N Laura St Jacksonville, FL 32202, United States",https://germpass.com/,https://www.linkedin.com/company/microlumix,"GermPass is the world's fastest automatic germ-killing system. Laboratory validated to kill the COVID-19 virus in one second, the GermPass system kills germs from public touchpoints, i.e., door handles, restroom stall latches, elevators, and public toilet seats within 5 seconds after each touch without chemicals and human intervention.","Retail/E-Commerce, Smart Cities, Smart Home and Appliances, Startups",/8_0/exhibitor/exhibitor-details.cfm?exhid=0014V00003AvatvQAB,
"Geuma, Ltd.","LVCC, South Hall 3 - 40220","3F, 5-6, Heungdeok 1-ro, Giheung-gu Yongin-si, Gyeo 16954, South Korea",https://geuma.co.kr/,Not Available,"GEUMA is engaged in the smart farm design and facility business, manufacturing farm operation solutions, cultivation products, and equipment. We possess world-class spectrum LED lighting technology. Additionally, we are a company that develops, manufactures, and sells general home appliances and healthcare electronic products.","Beauty Tech, Digital Health, Lifestyle, Smart Home and Appliances, Sustainability",/8_0/exhibitor/exhibitor-details.cfm?exhid=001Pp000004AYxPIAW,
Gitel Ltd.,"LVCC, South Hall 3 - 42209","5F, Bldg #8, Huike Industrial Park, Gongye 2nd Rd. No. 1 Shilong, Shiyan, Bao'an Guangdong Shenzhen, 518108, China",https://www.gitel.com/,Not Available,"Gitel has been offering electronic and optical assembling services from Shenzhen, China for over 10 years. Our 100 employees and 30,000 sq. feet facility produce over 150,000 different finished products each year, with a revenue of 9 million dollars.","Fitness, IoT/Sensors, Robotics, Smart Home and Appliances, Sourcing and Manufacturing",/8_0/exhibitor/exhibitor-details.cfm?exhid=0014V00002JIqOKQA1,
GL Technologies (Hong Kong) Limited,"LVCC, North Hall - 8500","Unit 601, Building 5W, Hong Kong Science Park Shatin, 999077, Hong Kong SAR",https://www.gl-inet.com/,https://www.linkedin.com/company/gl-inet.com/,"GL.iNet brings reliable and secure network connectivity to businesses all over the world. We build network hardware and software solutions including routers, gateways, and remote device management platforms. We work with a wide range of industries, solving everyday internet problems, and providing complex network architecture solutions.","Cybersecurity, IoT/Sensors, Smart Home and Appliances",/8_0/exhibitor/exhibitor-details.cfm?exhid=0013A00001XqKGuQAN,
Glomensio,"Venetian Expo, Hall G - 60442","support@glomensio.com +1(928)228-0002 +1(928)258-5211, Phoenix, AZ 85024, United States",https://www.glomensio.com/,https://linkedin.com/company/glomensio,"Glomensio is a Smart Hardware company that designed Firefly Smart Home Address Numbers to enhance safety and convenience. Our flagship product, Firefly Gen2, illuminates at night, flashes during emergencies, guides delivery drivers and serves as the ""First Responder of your House"".","5G Technologies, Artificial Intelligence, IoT/Sensors, Smart Home and Appliances, Startups",/8_0/exhibitor/exhibitor-details.cfm?exhid=001Pp00000eNFuNIAW,
"Goertek, Inc.","Venetian, Lvl 3 - San Polo 3502","No.268 Dongfang Road High-Tech Indistrial Development District Weifang, Shandong,, 261031, China",https://www.goertek.com/en/,Not Available,Not Available,"AR/VR/XR, Audio, Digital Health, Fitness, Smart Home and Appliances",/8_0/exhibitor/exhibitor-details.cfm?exhid=0013000001KaO5jAAF,
Golden Smart Home technology corp.,"LVCC, South Hall 3 - 42208","2F, No.10, Yanfa 2nd Rd., Hsinchu Science Park HSINCHU CITY, NA 300, Taiwan",https://www.goldensmarthome.com.tw/,Not Available,"Golden Smart Home Technology Corp. develops intelligent health and exercise solutions, integrating IoT and AI to enhance health monitoring and fitness engagement. Their products, designed for clinical and senior care settings, combine physiological data measurement, personalized health insights, and cognitive and physical training.","Artificial Intelligence, Digital Health, Smart Home and Appliances, Sports",/8_0/exhibitor/exhibitor-details.cfm?exhid=001Pp00000kglrHIAQ,
Golden Will Merchants Inc.,"LVCC, South Hall 1 - 32333","10215 S Sam Houston Parkway W Ste 140 Missouri City, TX 77489, United States",https://www.protoarc.com/,https://www.linkedin.com/company/79480792/,"Golden Will Merchants Inc. specializes in work and home space solutions, offering ergonomic chairs, desks, input devices, and coffee makers through our brands ProtoArc and Maestri House, designed to improve comfort, productivity, and wellness in everyday environments.","Accessories, Digital Health, Enterprise, Retail/E-Commerce, Smart Home and Appliances",/8_0/exhibitor/exhibitor-details.cfm?exhid=001Pp00000F8VXSIA3,
"Goldsun Electronics Co., Ltd.","Venetian Expo, Halls A-D - 52552","10F, No.716, Chung Cheng Rd., ChungHo District New Taipei City, 235, Taiwan",https://www.goldtool.com/,Not Available,"About GOLDTOOL As a manufacturer and Trader of Electronics devices, Tool equipements since 1990. Goldtool is currently based in New Taipei City, Taiwan and service in 60 countries across Asia, Europe, Africa, the Middle East ,United States and Latin America markets. To meet the increase demands from our clients and offer the best service","5G Technologies, Accessories, Home Entertainment and Office Hardware, IoT/Sensors, Smart Home and Appliances",/8_0/exhibitor/exhibitor-details.cfm?exhid=0013000001KYVJMAA5,
"Good Way Technology Co., Ltd.","LVCC, Central Hall - 21626","3F, No. 135, Ln. 235, Baociao Rd., Sindian Dist., New Taipei City, 231, Taiwan",https://www.goodway.com.tw/,https://www.linkedin.com/company/good-way-technology/,"Good Way, founded in 1983 and Headquarters located in Taiwan, is the world’s leading PC peripheral design and manufacturing company professional in USB/Thunderbolt docking station and adapter. Good Way has own RD, sales, engineering, and manufacturing teams to provide product design and ODM/OEM services to global customers.","5G Technologies, Accessories, IoT/Sensors, Smart Home and Appliances, Sourcing and Manufacturing",/8_0/exhibitor/exhibitor-details.cfm?exhid=00130000008Rs5LAAS,
Govee Moments Limited,"Venetian Expo, Halls A-D - 51916","Room 023, 9/F, Block G, Kwai Shing Ing Bldg (Stage 2) 42-46 Tai Lin Pai Road, Kwai Chung, N.T Hong Kong, 999077, China",https://us.govee.com/,https://www.linkedin.com/company/govee/,"As a global leading smart home company, we aim to provide personalized and fun life experiences through continuous innovations in smart home areas, especially in ambient light and home appliances products. At Govee, we continuously build our ecosystem and are committed to a better consumer experience in all scenarios.","Artificial Intelligence, Home Entertainment and Office Hardware, IoT/Sensors, Lifestyle, Smart Home and Appliances",/8_0/exhibitor/exhibitor-details.cfm?exhid=0014V00001vEBYkQAO,
Grad Aps,"Venetian Expo, Halls A-D - 51619","149 Vesterbrogade, DK-1620 Kobenhavn, 1620, Denmark",https://grad.dk/,Not Available,"Grad is a Copenhagen-based innovator in beverage cooling technology with production in Sweden. We design advanced solutions like the Grad Tap Cooler and Grad No.1 Cooler, ensuring wine and spirits are served at the perfect temperature. Committed to quality and sustainability, Grad enhances the serving experience in all settings.","Accessories, Food Tech, Lifestyle, Smart Home and Appliances, Sustainability",/8_0/exhibitor/exhibitor-details.cfm?exhid=001Pp00000FBQL7IAP,
Gre Manufacturing,"LVCC, South Hall 3 - 40717","3030 McEver Road Bldg 1, Suite 140 Gainesville, GA 30504, United States",https://www.gremanufacturing.com/,Not Available,"GRE Manufacturing is a quality and cost effective OEM/ODM Contract Manufacturer with 30+ years of experience designing and/or assembling turnkey electronic products, sub-assemblies, PCBAs and transformers at our newest Assembly Facility in Vietnam which allows tariff free shipments to the USA and is ISO13485 Medical Product certified.","Accessories, Digital Health, Energy/Power, Smart Home and Appliances, Sourcing and Manufacturing",/8_0/exhibitor/exhibitor-details.cfm?exhid=0013A00001YUdsYQAT,
GreenWaves Technologies,Venetian Tower - Suite 29-309,"28 cours Jean Jaures Grenoble, 38000, 38000, France",https://greenwaves-technologies.com/,https://www.linkedin.com/company/greenwaves-technologies,"GreenWaves is a fabless semiconductor company founded in 2014 and based in Grenoble, France. We design and market ultra low power processors for energy constrained products such as hearables, wearables, IoT & medical monitoring products.","Artificial Intelligence, Audio, Gaming and Esports, IoT/Sensors, Smart Home and Appliances",/8_0/exhibitor/exhibitor-details.cfm?exhid=0013000001MemX8AAJ,
GrowMaxValue Inc,"LVCC, North Hall - 9451","448 South Hill Street #601 Los Angeles, CA 90013, United States",https://growmaxvalue.com/,Not Available,"GrowMaxValue Inc is a TikTok and Instagram officially certified agency, with 10k+ influencers under our management. We specialize in helping brands promote and monetize on e-commerce platforms. Our current collaborations include companies across various categories such as apps, personal electronics, home appliances, etc.","Content and EntertaInment, Lifestyle, Marketing and Advertising, Retail/E-Commerce, Smart Home and Appliances",/8_0/exhibitor/exhibitor-details.cfm?exhid=001Pp00000hsKVdIAM,
"Guangdong Alpha Health Tech Co., Ltd.","Venetian Expo, Halls A-D - 54667","Room 101-A8,Building 2nd,No.3039,Hubin Road, San Zao Town,Jin Wan District Zhuhai, 519000, China",https://jtforal.com/,Not Available,"Guangdong Alpha Health Tech Co.,Ltd. is committed to scientific and technological innovation, providing customers around the world with high-quality and affordable Electric toothbrushes and Water Flossers, and taking whitening teeth and protecting oral health as our mission.","Beauty Tech, Lifestyle, Smart Home and Appliances, Sourcing and Manufacturing",/8_0/exhibitor/exhibitor-details.cfm?exhid=001Pp000003NlZFIA0,
"Guangdong Chuntex Elite Electronic Tech. Co., Ltd","LVCC, Central Hall - 16150","No. 2 Longsheng Road, New City Zone, Shilong Town Dongguan, 523326, China",https://www.ctx-china.com/,Not Available,"Guangdong Chuntex Elite Electronic Technology Co., Ltd. (CTX) is a prominent player in the display industry. At CTX, we specialize in delivering highly quality products, including OLED monitors and other profession display products, offering comprehensive solutions ranging from design and development to production and service.","Accessories, Gaming and Esports, Home Entertainment and Office Hardware, Smart Home and Appliances, Video",/8_0/exhibitor/exhibitor-details.cfm?exhid=0013A00001Wrq3NQAR,
"GuangDong LDNIO Electronic Technology Co.,Ltd","LVCC, South Hall 1 - 30363","strial Park B zone,Guicheng Street,Nanhai District Foshan, 528251, China",https://www.ldnio.com/,Not Available,"LDNO focuses on R&D, global brandmarketing services of chargers andother accessories, we have accumulated rich experience inchargers, power strip products, caraccessories, power banks, datacables, smart home, now we canprovide perfect charging solutionsand professional services.","Accessories, Marketing and Advertising, Smart Home and Appliances",/8_0/exhibitor/exhibitor-details.cfm?exhid=001Pp00000RTFiZIAX,
"Guangdong Seneasy Intelligent technology co., ltd","LVCC, South Hall 2 - 35920","No. 10, Dongsheng Middle Road, Dongsheng Village, Chenjiang Street, Zhongkai High-tech Zone， Huizhou City, Guangdong Province, China HUIZHOU, 516029, China",http://www.seneasy.com/,https://www.linkedin.com/company/seneasy/posts/?feedView=all,The Smart Home Interactive Terminal Overall Solution Provider. Focusing on remote controller for 20 years titled national high –tech enterprise .,"Accessories, Content and EntertaInment, Home Entertainment and Office Hardware, Smart Home and Appliances, Streaming",/8_0/exhibitor/exhibitor-details.cfm?exhid=001Pp00000kruUsIAI,
"Guangdong Zike Technology Co.,Ltd","LVCC, South Hall 1 - 32342","Room 902, Block C, Lianjian Industrial Park II, Huarong Road, Shanghenglang Community, Dalang Street Shenzhen, 518000, China",https://www.ziketech.com/,Not Available,"Founded in 2021, ZIKE is a high-tech enterprise to develop, produce and sell 3C electronic products.Focusing on innovative and groundbreaking computer and mobile phone accessories.With high-tech, high-performance, and emphasis on the development of new products, we are striving to become a leader in 3C consumer electronics products.","Accessories, Energy/Power, Home Entertainment and Office Hardware, Retail/E-Commerce, Smart Home and Appliances",/8_0/exhibitor/exhibitor-details.cfm?exhid=001Pp000003fC3XIAU,
"Guangzhou Boju Information Technology Co., Ltd.","Venetian Expo, Halls A-D - 51572","Unit L3A01-2, No. 31, Xicha Road, Baiyun District Guangzhou, 510407, China",https://www.bougerv.com/,https://www.linkedin.com/company/bougerv/,"BougeRV serves portable refrigerators, solar systems, portable power stations, portable air conditioners, and related accessories and components, providing long-lasting power, enabling you to extend your trips for longer and in greater comfort than ever before. BougeRV helps you MAKE THE JOURNEY!","Accessories, Audio, Energy Transition, Smart Home and Appliances, Vehicle Tech and Advanced Mobility",/8_0/exhibitor/exhibitor-details.cfm?exhid=001Pp00000PeMJjIAN,
"Guangzhou Chiyang Scent Technology Co.,Lt","LVCC, South Hall 3 - 41974","Building C4, Gaosha Industrial Park Zhongcun Street, Panyu District Guangzhou，Guangdong, 511495, China",https://www.scentachina.com/,Not Available,"SCENTA, or Guangzhou Chiyang Scent Technology Company, is a fragrance marketing and product service brand. Established on 2009, SCENTA, an international enterprise with the factory area and the export volume ahead of any domestic enterprise in China, has a powerful technical team in fragrance sector.",Smart Home and Appliances,/8_0/exhibitor/exhibitor-details.cfm?exhid=001Pp000002T40gIAC,
"Guangzhou Dongda Electronic Technology Co.,Ltd","LVCC, South Hall 1 - 30338","R501, No.634 Shibei Industrial Road, Dashi Street Panyu District, Guangzhou.,, 511430, China",http://www.iwillhave.net/,Not Available,"Guangzhou Dongda Electronic Technology Co., Ltd is a professional enterprise specializing in cellphone accessories products.We have had the experience of producing cellphone accessories for more than 10 years and our products are very popular in Europe, the United States, the Middle East and other countries and regions.","Accessories, Fitness, Smart Home and Appliances",/8_0/exhibitor/exhibitor-details.cfm?exhid=0014V00001zm9LXQAY,
Guangzhou Havit Technology Company Limited,"LVCC, South Hall 1 - 30841","Room 1307, Poly World Trade Center, Phase 2, 1000 Xingang East Rd., Haizhu Guangzhou, Guangdong, 518000, China",https://www.havit.hk/,Not Available,"Founded in 1998, GUANGZHOU HAVIT TECHNOLOGY CO. ,LTD is a company that integrates product development, large-scale production, and independent marketing. It has obtained AEO certification from China Customs and was awarded the high-tech enterprise by the government. HAVIT focused on the audio products ,PC & game peripherals.","Accessories, Audio, Fitness, Gaming and Esports, Smart Home and Appliances",/8_0/exhibitor/exhibitor-details.cfm?exhid=0013000001N9iwHAAR,
"Guangzhou Jie Li electron co., ltd.","LVCC, South Hall 2 - 35719","No.5 Xinkekejiayuanxing Rd., Jiahe Street, Baiyun Guangzhou, Guan 510000, China",http://www.jlav.com.cn/,Not Available,"Guangzhou Jie Li Electron Co., Ltd, was established on 1998,an professional Audio products company. Our main products are Bluetooth speaker, Micro Hifi system, Party speaker, Multimedia speaker, Soundbar system, and so on.","Accessories, Audio, Gaming and Esports, Smart Home and Appliances, Video",/8_0/exhibitor/exhibitor-details.cfm?exhid=001Pp00000jxXXcIAM,
"Guangzhou Jindu Digital Co., Ltd.","LVCC, South Hall 1 - 32623","Room 1513, 15th Floor, No.55 Xidi Er Road, Liwan District Guangzhou, 510130, China",https://kzdoo.global/,Not Available,"KZDOO brand, originates from Guangzhou Jindu Digital Co.,Ltd, it was born out of belief in transmitting good products to consumers. Our product range mostly in mobile phone protection such as protective case for phones, AirPods, watch and MacBook etc., and in the year of 2022, we expanded product line into more categories.","Accessories, Audio, Retail/E-Commerce, Smart Home and Appliances, Sourcing and Manufacturing",/8_0/exhibitor/exhibitor-details.cfm?exhid=001Pp000003CbQNIA0,
"Guangzhou New Design Biotechnology  Co., Ltd.","Venetian Expo, Halls A-D - 55848","Building 1, No. 265 Chigang West Road, Haizhu District, Guangzhou Guangzhou, 510220, China",https://www.techlove.com.cn/,Not Available,"Founded in 2013, We are an innovative technology company focusing on the home medical health supplies industry more than 10 years in China. The company has more than 400 employees, R&D department about 40 people in Guangzhou head office. Integrating design, research and development, production, sales and service.","Beauty Tech, Fitness, Lifestyle, Smart Home and Appliances, Sourcing and Manufacturing",/8_0/exhibitor/exhibitor-details.cfm?exhid=0014V00003waaICQAY,
Guangzhou Strong Sound electronic equipment co,"LVCC, South Hall 2 - 36119","No. 15 Pingdu Rd., Panyu Guangzhou, 511400, China",https://www.like-audio.com/,https://www.linkedin.com/company/likeaudio/posts/?feedView=all,"Guangzhou Strong Sound Electronic Equipment Co., Ltd is a company which produces and sales commercial audios, consumer audios, smart home and hotel audios.","Accessories, Audio, Smart Home and Appliances",/8_0/exhibitor/exhibitor-details.cfm?exhid=001Pp00000kmlLgIAI,
"Guangzhou Wusen Electronic Technology Co., Ltd","LVCC, South Hall 1 - 32151","Room 2605, Greenland Center, No. 888, Yuncheng West Road, Baiyun District Guangzhou, Guangdong,, 510000, China",https://www.bwoohk.com/,Not Available,"Since 2005 in Hong Kong, with nearly 20 years of dedication and experience within the consumer electronics industry. By now, we have established mutually beneficial and win-win relationships with thousands of clients in more than 100 countries and regions around the world.","5G Technologies, Accessibility, Content and EntertaInment, Gaming and Esports, Smart Home and Appliances",/8_0/exhibitor/exhibitor-details.cfm?exhid=0014V00003lg36pQAA,
"Guangzhou Zifriend Communicate Technology Co., Ltd","LVCC, South Hall 1 - 30362","Rm6086th floor, Yutian International Electronics Commercial, Guangzhou, 510000, China",https://www.furycube.com/,Not Available,"We are a professional manufacturer. Our products include premium mechanical keyboards, mice, pads, headsets etc. We devote to leading fashion, offer the most cost effective products. We focus more on professional after-sale service to be sure the product can be correctly used and maintained.","Accessibility, Content and EntertaInment, Gaming and Esports, Smart Home and Appliances, Sourcing and Manufacturing",/8_0/exhibitor/exhibitor-details.cfm?exhid=0013000001NsXhWAAV,
"Gwanak Analog Co.,Ltd","Venetian Expo, Halls A-D - 50623","5th Floor, Seoul National University Research Park, 1 Gwanak-ro, Gwanak-gu Seoul, 08826, South Korea",http://www.gwanakanalog.com/,https://www.linkedin.com/company/82801815,"Gwanak Analog has emerged as a leading provider of cutting-edge Analog-Power SoC and Sensor Signal Conditioning IC products. Our specialization lies in the development of intelligent analog and power chips catering to a wide range of applications, including the Industrial, Measurement, and Automotive sectors.","Artificial Intelligence, Audio, IoT/Sensors, Smart Home and Appliances, Startups",/8_0/exhibitor/exhibitor-details.cfm?exhid=0014V00002JIYB6QAP,
